series_id,display_name,months,start_holding_month,end_holding_month,start_date,end_date,days,cagr,ann_vol,sharpe_rf0,max_drawdown,calmar,cumulative_return,terminal_wealth,layer_status
CORE_USD,PDS Core · USD,112,2017-05,2026-08,2017-05-01,2026-08-31,2347,0.13785583996748474,0.11811661034719606,1.1551468383686574,-0.144510861596728,0.9539479485783238,2.3379585020043923,3.3379585020043923,HISTORICAL_DELAYED_NON_CANONICAL_SPOT_SENSITIVITY
UNHEDGED_KRW,KRW Unhedged,112,2017-05,2026-08,2017-05-01,2026-08-31,2347,0.16058483344549201,0.1341236319747814,1.18024898349094,-0.16058056849541036,1.0000265595652178,3.0146804362600372,4.014680436260037,HISTORICAL_DELAYED_NON_CANONICAL_SPOT_SENSITIVITY
FIXED50_COSTED,Fixed 50% Hedge · 5bp,112,2017-05,2026-08,2017-05-01,2026-08-31,2347,0.1468388701246004,0.11815188834182183,1.2215893865629255,-0.13688912604202985,1.0726846928624236,2.5921608260687887,3.5921608260687887,HISTORICAL_DELAYED_NON_CANONICAL_SPOT_SENSITIVITY
DYNAMIC_COSTED,Dynamic FX · 5bp,112,2017-05,2026-08,2017-05-01,2026-08-31,2347,0.15757565044006316,0.11938971435383759,1.2883934978881229,-0.13224916898196737,1.1915057890575413,2.9185696743016902,3.9185696743016902,HISTORICAL_DELAYED_NON_CANONICAL_SPOT_SENSITIVITY
CORE_DYNAMIC_ADAPTIVE_COMMON,PDS Core + Dynamic FX · common support,64,2021-05,2026-08,2021-05-03,2026-08-31,1339,0.15669192944954524,0.12428859114672641,1.236885497955943,-0.111807334904786,1.4014458853078156,1.1717755234621765,2.1717755234621765,HISTORICAL_DELAYED_NON_CANONICAL_SPOT_SENSITIVITY
ADAPTIVE_DYNAMIC_COSTED,PDS Adaptive + Dynamic FX,64,2021-05,2026-08,2021-05-03,2026-08-31,1339,0.1714186169392069,0.11262857773988756,1.4652734550019135,-0.11040267619701316,1.5526672255055758,1.3232096486172367,2.3232096486172367,HISTORICAL_DELAYED_NON_CANONICAL_SPOT_SENSITIVITY
