period,series_id,display_name,net_return,series_role
2023-01,PDS_ACTIVE_CORE,PDS Core,0.053941412501183006,ACTIVE_CORE
2023-02,PDS_ACTIVE_CORE,PDS Core,-0.03169179719087767,ACTIVE_CORE
2023-03,PDS_ACTIVE_CORE,PDS Core,0.024044457995565205,ACTIVE_CORE
2023-04,PDS_ACTIVE_CORE,PDS Core,0.0074347183669065675,ACTIVE_CORE
2023-05,PDS_ACTIVE_CORE,PDS Core,0.009935916923886623,ACTIVE_CORE
2023-06,PDS_ACTIVE_CORE,PDS Core,0.027663269790831668,ACTIVE_CORE
2023-07,PDS_ACTIVE_CORE,PDS Core,0.025745894044158613,ACTIVE_CORE
2023-08,PDS_ACTIVE_CORE,PDS Core,-0.02079976962039265,ACTIVE_CORE
2023-09,PDS_ACTIVE_CORE,PDS Core,-0.028538503142280902,ACTIVE_CORE
2023-10,PDS_ACTIVE_CORE,PDS Core,-0.01216227308717377,ACTIVE_CORE
2023-11,PDS_ACTIVE_CORE,PDS Core,0.04963294938581986,ACTIVE_CORE
2023-12,PDS_ACTIVE_CORE,PDS Core,0.04547966138997506,ACTIVE_CORE
2024-01,PDS_ACTIVE_CORE,PDS Core,-0.012563708781388239,ACTIVE_CORE
2024-02,PDS_ACTIVE_CORE,PDS Core,0.02617377427258849,ACTIVE_CORE
2024-03,PDS_ACTIVE_CORE,PDS Core,0.030929626382772746,ACTIVE_CORE
2024-04,PDS_ACTIVE_CORE,PDS Core,-0.03854481614804672,ACTIVE_CORE
2024-05,PDS_ACTIVE_CORE,PDS Core,0.024131199324182617,ACTIVE_CORE
2024-06,PDS_ACTIVE_CORE,PDS Core,0.0244927396101986,ACTIVE_CORE
2024-07,PDS_ACTIVE_CORE,PDS Core,0.013738080074064518,ACTIVE_CORE
2024-08,PDS_ACTIVE_CORE,PDS Core,0.013171982810964877,ACTIVE_CORE
2024-09,PDS_ACTIVE_CORE,PDS Core,0.02506938624813393,ACTIVE_CORE
2024-10,PDS_ACTIVE_CORE,PDS Core,-0.007742991292365664,ACTIVE_CORE
2024-11,PDS_ACTIVE_CORE,PDS Core,0.032868697552450366,ACTIVE_CORE
2024-12,PDS_ACTIVE_CORE,PDS Core,-0.023681666182266192,ACTIVE_CORE
2025-01,PDS_ACTIVE_CORE,PDS Core,0.021703160718069547,ACTIVE_CORE
2025-02,PDS_ACTIVE_CORE,PDS Core,-0.005547507033588861,ACTIVE_CORE
2025-03,PDS_ACTIVE_CORE,PDS Core,-0.019208625053880102,ACTIVE_CORE
2025-04,PDS_ACTIVE_CORE,PDS Core,-0.0011890111185206553,ACTIVE_CORE
2025-05,PDS_ACTIVE_CORE,PDS Core,0.02324883036655634,ACTIVE_CORE
2025-06,PDS_ACTIVE_CORE,PDS Core,0.03975499692317186,ACTIVE_CORE
2025-07,PDS_ACTIVE_CORE,PDS Core,0.004200245626765575,ACTIVE_CORE
2025-08,PDS_ACTIVE_CORE,PDS Core,0.022996392459603943,ACTIVE_CORE
2025-09,PDS_ACTIVE_CORE,PDS Core,0.06707176895797518,ACTIVE_CORE
2025-10,PDS_ACTIVE_CORE,PDS Core,0.041963698332496246,ACTIVE_CORE
2025-11,PDS_ACTIVE_CORE,PDS Core,-0.0013673678807449852,ACTIVE_CORE
2025-12,PDS_ACTIVE_CORE,PDS Core,0.0201407739614734,ACTIVE_CORE
2026-01,PDS_ACTIVE_CORE,PDS Core,0.07442562966675537,ACTIVE_CORE
2026-02,PDS_ACTIVE_CORE,PDS Core,0.04750981875209215,ACTIVE_CORE
2026-03,PDS_ACTIVE_CORE,PDS Core,-0.07554630879154212,ACTIVE_CORE
2026-04,PDS_ACTIVE_CORE,PDS Core,0.09369335078245644,ACTIVE_CORE
2026-05,PDS_ACTIVE_CORE,PDS Core,0.0680822510844179,ACTIVE_CORE
2026-06,PDS_ACTIVE_CORE,PDS Core,-0.023484667280046168,ACTIVE_CORE
2026-07,PDS_ACTIVE_CORE,PDS Core,-0.05282400320937097,ACTIVE_CORE
2026-08,PDS_ACTIVE_CORE,PDS Core,0.05115615440670096,ACTIVE_CORE
2017-05,ADAA,ADAA,0.0285076575371479,CORE_STRATEGY
2017-06,ADAA,ADAA,-0.005398054016919618,CORE_STRATEGY
2017-07,ADAA,ADAA,0.02098952697458989,CORE_STRATEGY
2017-08,ADAA,ADAA,0.010174291192696527,CORE_STRATEGY
2017-09,ADAA,ADAA,0.0025391185475143185,CORE_STRATEGY
2017-10,ADAA,ADAA,0.018014624270058954,CORE_STRATEGY
2017-11,ADAA,ADAA,0.007366691176726059,CORE_STRATEGY
2017-12,ADAA,ADAA,0.01274830436701091,CORE_STRATEGY
2018-01,ADAA,ADAA,0.053833188117162534,CORE_STRATEGY
2018-02,ADAA,ADAA,-0.03767793544788478,CORE_STRATEGY
2018-03,ADAA,ADAA,-0.0068113022887673624,CORE_STRATEGY
2018-04,ADAA,ADAA,0.007649135264877538,CORE_STRATEGY
2018-05,ADAA,ADAA,0.008570346032694465,CORE_STRATEGY
2018-06,ADAA,ADAA,-0.001960793115796333,CORE_STRATEGY
2018-07,ADAA,ADAA,0.007472421977913646,CORE_STRATEGY
2018-08,ADAA,ADAA,0.02358285922055603,CORE_STRATEGY
2018-09,ADAA,ADAA,-0.0033717166454695358,CORE_STRATEGY
2018-10,ADAA,ADAA,-0.028906785757465303,CORE_STRATEGY
2018-11,ADAA,ADAA,0.0021729317719521024,CORE_STRATEGY
2018-12,ADAA,ADAA,-0.007707119896544268,CORE_STRATEGY
2019-01,ADAA,ADAA,0.01490674872770481,CORE_STRATEGY
2019-02,ADAA,ADAA,-0.0003512927364046625,CORE_STRATEGY
2019-03,ADAA,ADAA,0.019272438027682748,CORE_STRATEGY
2019-04,ADAA,ADAA,0.015182594816851802,CORE_STRATEGY
2019-05,ADAA,ADAA,-0.03578575090505509,CORE_STRATEGY
2019-06,ADAA,ADAA,0.03166000778441802,CORE_STRATEGY
2019-07,ADAA,ADAA,0.004663641737108204,CORE_STRATEGY
2019-08,ADAA,ADAA,0.03357680991878986,CORE_STRATEGY
2019-09,ADAA,ADAA,-0.00813724808168359,CORE_STRATEGY
2019-10,ADAA,ADAA,0.014834387667645998,CORE_STRATEGY
2019-11,ADAA,ADAA,0.006858815794634987,CORE_STRATEGY
2019-12,ADAA,ADAA,0.027409330784092578,CORE_STRATEGY
