holding_month,dynamic_fx_5bp,pds_core,f2r,adaa,dynamic_fx_layer_status
2026-08,0.03480732327257319,0.0574380737802096,0.09694350871302371,0.044372540804560545,HISTORICAL_DELAYED_NON_CANONICAL_SPOT_SENSITIVITY
2026-07,-0.05786896499436156,-0.05040038243594258,-0.07173192787694704,-0.043270528594116064,HISTORICAL_DELAYED_NON_CANONICAL_SPOT_SENSITIVITY
2026-06,-0.0063491584427165515,-0.023484663162600894,-0.031913977792727644,-0.020697807144125058,HISTORICAL_DELAYED_NON_CANONICAL_SPOT_SENSITIVITY
2026-05,0.07552317289300148,0.06808226086391156,0.08241348173635221,0.06328154521851803,HISTORICAL_DELAYED_NON_CANONICAL_SPOT_SENSITIVITY
2026-04,0.08283398244173745,0.09366031117092977,0.1379985504593355,0.07894705376009514,HISTORICAL_DELAYED_NON_CANONICAL_SPOT_SENSITIVITY
2026-03,-0.05253881478963929,-0.07517036315416503,-0.08649242841708982,-0.07137570738535337,HISTORICAL_DELAYED_NON_CANONICAL_SPOT_SENSITIVITY
2026-02,0.05355638169302601,0.05250465133473847,0.028826055783137683,0.060405716922150576,HISTORICAL_DELAYED_NON_CANONICAL_SPOT_SENSITIVITY
2026-01,0.07131809492872576,0.07501567669311315,0.06981911041443878,0.07672062522383749,HISTORICAL_DELAYED_NON_CANONICAL_SPOT_SENSITIVITY
2025-12,0.011720329138144692,0.020140788023970346,0.024267347831614217,0.018757391300383564,HISTORICAL_DELAYED_NON_CANONICAL_SPOT_SENSITIVITY
2025-11,0.011664366949258653,-0.001187421011046852,-0.004492382346648616,-8.424117964411781e-05,HISTORICAL_DELAYED_NON_CANONICAL_SPOT_SENSITIVITY
2025-10,0.05056190336976485,0.04306511815919678,0.039040101829213025,0.04441029709841615,HISTORICAL_DELAYED_NON_CANONICAL_SPOT_SENSITIVITY
2025-09,0.0735589997215651,0.06663034656525979,0.07878100736579507,0.06259112018290036,HISTORICAL_DELAYED_NON_CANONICAL_SPOT_SENSITIVITY
