series_id,display_name,months,start_holding_month,end_holding_month,cagr,ann_vol,sharpe_rf0,max_drawdown,calmar,cumulative_return,terminal_wealth,series_role
PDS_ACTIVE_CORE,PDS Core,112,2017-05,2026-08,0.13789409981425682,0.11811119295806242,1.1554797427441261,-0.14451086936661994,0.9542126513987224,2.339006196204313,3.339006196204313,ACTIVE_CORE
ADAA,ADAA,112,2017-05,2026-08,0.1229785544662465,0.10522460442340603,1.157580853176463,-0.13041378534575732,0.9429873854224975,1.9521175802663322,2.952117580266332,CORE_STRATEGY
F2R,F2R,112,2017-05,2026-08,0.17980466403906403,0.1765271828155012,1.0272398707815464,-0.2197163487735896,0.8183490443141616,3.6798041824424885,4.6798041824424885,CORE_STRATEGY
SPY_AGG_60_40,60/40,112,2017-05,2026-08,0.09785766201823409,0.11483080243222914,0.8724407398278967,-0.2163070448009018,0.45240164095582946,1.3901748947738577,2.3901748947738577,REFERENCE
BIL_CASH,BIL Cash,112,2017-05,2026-08,0.023435318807466077,0.0029682756014647468,7.822640830578833,-0.004474473916887156,5.237558480119553,0.241358066242519,1.241358066242519,CASH_COMPARATOR
